full_id,osm_id,osm_type,water,waterway,emergency,building:levels,aircraft:type,wikimedia_commons,wheelchair,ship:type,reservation,ref,opening_hours,historic,wetland,addr:street,addr:housenumber,addr:country,addr:city,building,artwork_type,source:name,leaf_cycle,layer,leaf_type,reservoir_type,landuse,wastewater,survey:date,fishing,oktmo:user,barrier,alt_name:ru,place,tidal,dock,covered,description,seasonal,local_name,access,name:es,old_name,name:it,int_name,loc_name,contact:website,operator,start_date,name:be,amenity,official_name,salt,intermittent,tourism,name:de,sport,alt_name,boat,wikipedia,wikidata,name:ru,name:en,type,natural,name:uk,name
r1198229,"1198229",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Північний Терлецький ставок,Северный Терлецкий пруд
r1236126,"1236126",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Нижній Кузьмінський ставок,Нижний Кузьминский пруд
r1257937,"1257937",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,ru:Борисовские пруды,Q4093975,Борисовский пруд,Borisovskiy pond,multipolygon,water,Борисівський став,Борисовский пруд
r1257947,"1257947",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Бабаевский пруд,Q19906369,Бабаевский пруд,Babayevsky pond,multipolygon,water,Бабаєвський ставок,Бабаевский пруд
r1285019,"1285019",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Самотёка,,,,,,,,,,,,multipolygon,water,Каскадні ставки річки Самотек (Алтуф'євська річка),Каскадные пруды реки Самотёки (Алтуфьевская речка)
r1307816,"1307816",relation,canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1308832,"1308832",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1315475,"1315475",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1324744,"1324744",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Великий Воронцовський ставок,Большой Воронцовский пруд
r1362324,"1362324",relation,basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Купалы,fountain,,,,,,,,,,,,,multipolygon,water,Куполи,Купола
r1362329,"1362329",relation,basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fountain,,,,attraction,Weltzeituhr,,,,,,,,multipolygon,water,Годинник світу,Часы мира
r1375848,"1375848",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1375853,"1375853",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1438155,"1438155",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1438437,"1438437",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1438496,"1438496",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1438497,"1438497",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1451181,"1451181",relation,canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1451184,"1451184",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1451187,"1451187",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,yes,,,,,multipolygon,water,,
r1452300,"1452300",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756..1761,,,,,,,,,,,,,,,multipolygon,water,Андріївські ставки,Андреевские пруды
r1514813,"1514813",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ГУП «Мосводосток»,,,,,,,,,,,,ru:Джамгаровский пруд,Q4159810,,,multipolygon,water,Джамгарівський ставок,Джамгаровский пруд
r1526343,"1526343",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Братієвський ставок,Братеевский пруд
r1529851,"1529851",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://park.sokolniki.com/activities/72/,,,,,,,,,,,,,ru:Путяевские пруды,Q4384451,,,multipolygon,water,3-й Путяєвський ставок,3-й Путяевский пруд
r1529852,"1529852",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://park.sokolniki.com/activities/72/,,,,,,,,,,,,,ru:Путяевские пруды,Q4384451,,,multipolygon,water,2-й Путяєвський ставок,2-й Путяевский пруд
r1578576,"1578576",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Довгі ставки,Долгие пруды
r1749000,"1749000",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1749001,"1749001",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r1811177,"1811177",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Академические пруды,,,late C18,,,,,,,,,,,ru:Большой Садовый пруд,Q4092825,,,multipolygon,water,Великий Садовий ставок,Большой Садовый пруд
r1904393,"1904393",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Верхній Фермський ставок,Верхний Фермский пруд
r1930620,"1930620",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Чечерський ставок,Чечёрский пруд
r1944913,"1944913",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r2279003,"2279003",relation,reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacino di Khimki,Khimki reservoir,,,,,,,,,,,Chimki-Stausee,,,,ru:Химкинское водохранилище,Q4497757,Химкинское водохранилище,Khimki reservoir,multipolygon,water,Хімкінське водосховище,Химкинское водохранилище
r2398688,"2398688",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Оленьи пруды,Q19915753,,,multipolygon,water,Великий Олень ставок,Большой Олений пруд
r2499985,"2499985",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r2499991,"2499991",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r2614124,"2614124",relation,,dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikolskaya Dam,multipolygon,,,Никольская дамба
r2657099,"2657099",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r2669486,"2669486",relation,basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r2819497,"2819497",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r2819498,"2819498",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r3018406,"3018406",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r3049737,"3049737",relation,canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r3075650,"3075650",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,multipolygon,water,Великий Ангарський ставок,Большой Ангарский пруд
r3116156,"3116156",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Шибаївський ставок,Шибаевский пруд
r3116157,"3116157",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Щучий пруд,Schuchiy pond,multipolygon,water,Щучий ставок,Щучий пруд
r3287352,"3287352",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Вітебський ставок,Витебский пруд
r3287648,"3287648",relation,reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,ru:Черкизовский пруд,Q21045097,,,multipolygon,water,Черкізовський ставок,Черкизовский пруд
r3341809,"3341809",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Великий Головинський ставок,Большой Головинский пруд
r3341811,"3341811",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Малий Головинський ставок,Малый Головинский пруд
r3346797,"3346797",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Пруд №3,Pond no. 3,multipolygon,water,Ставок №3,Пруд №3
