full_id,osm_id,osm_type,water,waterway,emergency,building:levels,aircraft:type,wikimedia_commons,wheelchair,ship:type,reservation,ref,opening_hours,historic,wetland,addr:street,addr:housenumber,addr:country,addr:city,building,artwork_type,source:name,leaf_cycle,layer,leaf_type,reservoir_type,landuse,wastewater,survey:date,fishing,oktmo:user,barrier,alt_name:ru,place,tidal,dock,covered,description,seasonal,local_name,access,name:es,old_name,name:it,int_name,loc_name,contact:website,operator,start_date,name:be,amenity,official_name,salt,intermittent,tourism,name:de,sport,alt_name,boat,wikipedia,wikidata,name:ru,name:en,type,natural,name:uk,name
r7192888,"7192888",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7211235,"7211235",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7265162,"7265162",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,Сусоколовский пруд
r7341132,"7341132",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,multipolygon,water,,
r7379534,"7379534",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Пруд №4,Pond no. 4,multipolygon,water,Ставок №4,Пруд №4
r7379535,"7379535",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7410093,"7410093",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7443728,"7443728",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7466657,"7466657",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7466658,"7466658",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7466688,"7466688",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7486952,"7486952",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4271707,,,multipolygon,water,Люблінський ставок,Люблинский пруд
r7517377,"7517377",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Пруд №2,Pond no. 2,multipolygon,water,Ставок №2,Пруд №2
r7517378,"7517378",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7533279,"7533279",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7680009,"7680009",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7844531,"7844531",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7844540,"7844540",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7916181,"7916181",relation,canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r7916182,"7916182",relation,canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r8364991,"8364991",relation,,dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,Борисовская плотина
r8442867,"8442867",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r8478385,"8478385",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Большой Очаковский пруд (Москва),Q48952100,,,multipolygon,water,Великий Очаківський ставок,Большой Очаковский пруд
r8661494,"8661494",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q59399641,Кожуховский пруд,Kozuhovskiy pond,multipolygon,water,Кожухівський ставок,Кожуховский пруд
r8878383,"8878383",relation,reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r8878384,"8878384",relation,reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r8878385,"8878385",relation,reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r9051984,"9051984",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ЧП; Чистаки",,,,,,,,,,,,,,ru:Чистые пруды,Q2458029,,,multipolygon,water,Чистий ставок,Чистый пруд
r9518618,"9518618",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r9607774,"9607774",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r9607776,"9607776",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r9608195,"9608195",relation,stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r9767571,"9767571",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r9771535,"9771535",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r9775255,"9775255",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r9853134,"9853134",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Верхний пруд на Бирюлёвском ручье,private,,,,,,,ГУП «Мосводосток»,,,,Верхний пруд,,,,,,Верхний пруд,,,,,,multipolygon,water,1-й ставок на Бірюлівському струмку,1-й пруд на Бирюлёвском ручье
r10307417,"10307417",relation,canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r10377512,"10377512",relation,lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,шлюз №8 Канала имени Москвы,Moscow Canal Lock no. 8,multipolygon,water,Шлюз №8 Каналу імені Москви,шлюз №8 Канала имени Москвы
r10377513,"10377513",relation,canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r10377516,"10377516",relation,lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r10377517,"10377517",relation,lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r10895204,"10895204",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Західний Терлецький ставок (Качиний),Западный Терлецкий пруд (Утиный)
r11187998,"11187998",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Пенягінський ставок,Пенягинский пруд
r11213298,"11213298",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,multipolygon,water,1-й Іваньківський ставок,1-й Иваньковский пруд
r11568814,"11568814",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Верхній Головинський ставок,Верхний Головинский пруд
r11732087,"11732087",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,ГУП «Мосводосток»,1965..1971,,,Круглый пруд,,yes,,,,"Конфетка; 3-й пруд Бирюлёвского дендропарка;3-й пруд на Бирюлёвском ручье",,,,,,multipolygon,water,Круглий ставок,Круглый пруд
r11992334,"11992334",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Лебедянский пруд,Q4198648,,,multipolygon,water,Лебедянський ставок,Лебедянский пруд
r12816257,"12816257",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r12816258,"12816258",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r12868891,"12868891",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,multipolygon,water,,
r12868892,"12868892",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,multipolygon,water,,
r12868893,"12868893",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1126808,,,multipolygon,water,,
r13314319,"13314319",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q68971100,,,multipolygon,water,Богатирський ставок,Богатырский пруд
r13326325,"13326325",relation,lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r13329495,"13329495",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,Казняний ставок,Казённый пруд
r14076239,"14076239",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1756",,,,,,,,,,,,,,,multipolygon,water,,
r14284824,"14284824",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ольняный пруд,,ru:Декоративный пруд (Измайлово),Q4156993,,,multipolygon,water,Декоративний ставок,Декоративный пруд
r14732088,"14732088",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r14968548,"14968548",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Пруд вокруг центральной площади перед Калейдоскопом. На поверхности пруда растут водные лилии,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15071451,"15071451",relation,lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15869988,"15869988",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15869989,"15869989",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15869990,"15869990",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15869992,"15869992",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15869993,"15869993",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15869994,"15869994",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15869995,"15869995",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15869996,"15869996",relation,canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15869999,"15869999",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15870000,"15870000",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15870001,"15870001",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15870002,"15870002",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15870003,"15870003",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15870004,"15870004",relation,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15882800,"15882800",relation,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,water,,
r15896498,"15896498",relation,,dock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drydock,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,
r15920107,"15920107",relation,lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,no,no,,,,,,,,,,multipolygon,water,,
r15920108,"15920108",relation,lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,,,,,,,,,,multipolygon,water,,
w10074326,"10074326",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Салтиківський ставок,Салтыковский пруд
w10074859,"10074859",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Малий Качаловський ставок,Малый Качаловский пруд
w10356031,"10356031",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q48953798,,,,water,Великий Чертанівський ставок,Большой Чертановский пруд
w10367854,"10367854",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Довгі ставки,Долгие пруды
w10898589,"10898589",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Східний Троєкурівський ставок,Восточный Троекуровский пруд
w19384434,"19384434",way,lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4082415,,,,water,Біле озеро,Белое озеро
w19384500,"19384500",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Южный Выхинский пруд-отстойник,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Південний Вихінський ставок,Южный Выхинский пруд
w20480972,"20480972",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Бекет (пруд),Q13667962,,,,water,Бекет,Бекет
w20839990,"20839990",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Удальцівські ставки,Удальцовские пруды
w21267820,"21267820",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Великий Востряківський ставок,Большой Востряковский пруд
w22880561,"22880561",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Малий Чортанівський ставок,Малый Чертановский пруд
w23024146,"23024146",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Самопливний (Алтуфіївський або Ліанозовський) ставок,Самотечный (Алтуфьевский или Лианозовский) пруд
w23056063,"23056063",way,reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,,
w23075696,"23075696",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Марс,,,,,,,,,,,,,,ru:Пруд Алтуфьевского района,Q4382410,,,,water,Ставок Алтуфієвського району,Пруд Алтуфьевского района
w23127452,"23127452",way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,islet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,Високий,Высокий
w23161349,"23161349",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110377",retaining_wall,Дворцовый пруд,,,,,,,,,,,,,,,,,,,,,,,,,Дворцовый пруд,,ru:Останкинский пруд,Q20080356,Останкинский пруд,,,water,Останкінський ставок,Останкинский пруд
w23168938,"23168938",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,permit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,,
w23359303,"23359303",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q20248316,,,,water,Новоспаський ставок,Новоспасский пруд
w23366224,"23366224",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Большой Перовский пруд,Q48955594,,,,water,Великий Перовський ставок,Большой Перовский пруд
w23369224,"23369224",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Калитниковский пруд,Q19909856,,,,water,Калітніковський ставок,Калитниковский пруд
w23410571,"23410571",way,wastewater,,,,,,,,,,,,,,,,,,,,,,,,,drain,2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,,
w23427515,"23427515",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Владимирский пруд,,,,,,,,,Q16630625,,,,water,Володимирський ставок,Владимирский пруд
w23456792,"23456792",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,ставок Торф'янка,пруд Торфянка
w23516731,"23516731",way,reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Верхній Іванівський відстійник,Верхний Ивановский отстойник
w23516748,"23516748",way,reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Нижній Іванівський відстійник,Нижний Ивановский отстойник
w23767884,"23767884",way,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,островок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w23767887,"23767887",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Південно-Західний Терлецький ставок,Юго-Западный Терлецкий пруд
w23772422,"23772422",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Гольяновский пруд,Golyanovsky pond,,water,Голянівський ставок,Гольяновский пруд
w23972530,"23972530",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Червоний ставок,Красный пруд
w24288546,"24288546",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,,
w24322783,"24322783",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Рубль; Холодок",,,,,,,,,,,,,,,,,,,water,Кольський ставок,Кольский пруд
w24322795,"24322795",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4539451,,,,water,Ясний ставок,Ясный пруд
w24322805,"24322805",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Восьмерка,,,,,,,,,,,,,,,,,,,water,Блакитні ставки,Лазоревые пруды
w24460242,"24460242",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,,
w24501426,"24501426",way,lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,шлюз №7 Канала имени Москвы,Moscow Canal Lock no. 7,,water,Шлюз №7 Каналу імені Москви,шлюз №7 Канала имени Москвы
w24501741,"24501741",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Малий Ангарський ставок,Малый Ангарский пруд
w24530482,"24530482",way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,Качиний острів,Утиный остров
w24780719,"24780719",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kleiner Teich,,,,ru:Пресненские пруды,Q21644068,,,,water,Малий ставок,Малый пруд
w24791171,"24791171",way,wastewater,,,,,,,,,,,,,,,,,,,,,,,,,drain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,,
w25007951,"25007951",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Совхозный пруд (Измайлово),Q4426663,,,,water,Радгоспний ставок,Совхозный пруд
w25152734,"25152734",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,,,,,,,,,,,water,Воробйовський ставок,Воробьёвский пруд
w25365818,"25365818",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Пасічний ставок,Пасечный пруд
w25484724,"25484724",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Декоративный пруд,,ru:Собачий пруд (Измайлово),Q4425746,,,,water,Собачий ставок,Собачий пруд
w26233126,"26233126",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4064058,,,,water,Амбулаторний ставок,Амбулаторный пруд
w26620089,"26620089",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Великий Крилатський ставок,Большой Крылатский пруд
w26620102,"26620102",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Малий Крилатський ставок,Малый Крылатский пруд
w26643604,"26643604",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,,
w26698167,"26698167",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Ставок Подоселки,Пруд Подосёлки
w26759615,"26759615",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Академические пруды,,,,,,,,,,,,,,,,,,,water,Верхній Садовий ставок,Верхний Садовый пруд
w27080506,"27080506",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,став Раменки,пруд Раменки
w27175355,"27175355",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru:Садки (пруд),Q4404591,,,,water,ставок Садки,пруд Садки
w27349190,"27349190",way,reservoir,,,,,,,,,,,,,,,,,,,,,,,sewage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,,
w27349191,"27349191",way,reservoir,,,,,,,,,,,,,,,,,,,,,,,sewage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,,
w27349193,"27349193",way,reservoir,,,,,,,,,,,,,,,,,,,,,,,sewage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,,
w27349194,"27349194",way,reservoir,,,,,,,,,,,,,,,,,,,,,,,sewage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,,
w27410986,"27410986",way,reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,,
w27427227,"27427227",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Советский пруд,,,,,,,,,,,,,,,,,ru:Советский пруд,Q18400483,,,,water,Купавенський ставок,Купавенский пруд
w27614386,"27614386",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Нові Олімпійські ставки,Новые Олимпийские пруды
w27632034,"27632034",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Середній фермерський ставок,Средний Фермский пруд
w27632040,"27632040",way,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Нижній фермський ставок,Нижний Фермский пруд
w27745830,"27745830",way,lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,Нижнє озеро,Нижнее озеро
